Longitude,Latitude,Confidence
-60.71823,-32.90197,nominal
-60.68083,-32.71064,nominal
-60.68431,-32.71148,low
-60.28686,-33.25853,nominal
-60.28539,-33.25385,nominal
-60.28537,-33.25454,nominal
-60.25383,-33.23671,nominal
-60.25820,-33.23069,nominal
-60.25227,-33.23206,nominal
-60.27009,-33.22793,nominal
-60.25071,-33.22741,nominal
-60.25664,-33.22603,nominal
-60.25477,-33.23524,nominal
-60.27151,-33.22754,nominal
-60.33439,-33.20121,nominal
-60.33086,-33.20034,low
-60.30221,-33.20800,nominal
-60.30577,-33.20885,nominal
-60.33583,-33.19972,nominal
-60.33228,-33.19886,low
-60.31620,-33.18954,high
-60.31978,-33.19040,nominal
-60.25872,-33.24272,nominal
-60.25157,-33.24097,low
-60.25515,-33.24185,low
-60.25686,-33.23679,high
-60.25328,-33.23592,nominal
-60.26044,-33.23767,nominal
-60.25501,-33.23087,high
-60.25857,-33.23174,nominal
-60.30630,-33.21612,low
-60.30444,-33.21020,nominal
-60.30614,-33.20515,nominal
-60.35081,-33.09321,nominal
-60.35606,-33.08902,nominal
-60.38491,-33.00323,nominal
-60.38466,-33.00190,nominal
-60.45707,-32.86048,nominal
-60.15870,-33.36848,nominal
-60.14856,-33.14347,high
-60.15220,-33.14435,nominal
-60.24798,-33.24010,high
-60.24969,-33.23504,nominal
-60.10683,-33.19445,nominal
-60.04896,-32.89867,nominal
-60.10026,-32.88167,nominal
-60.09872,-32.87702,nominal
-60.09131,-32.87374,nominal
-60.09128,-32.87413,nominal
-60.09718,-32.87278,nominal
-60.24431,-32.79363,nominal
-60.10012,-32.87308,nominal
-60.10044,-32.88039,nominal
-60.04400,-32.95211,nominal
-60.04574,-32.94696,low
-60.04701,-32.91938,nominal
-60.05073,-32.92031,nominal
-60.05791,-32.91094,nominal
-60.06162,-32.91187,low
-60.04939,-32.92100,nominal
-60.05114,-32.91585,nominal
-60.06034,-32.91252,nominal
-60.05837,-32.90646,nominal
-60.06210,-32.90737,low
-60.06012,-32.90132,nominal
-60.06187,-32.89618,nominal
-60.06559,-32.89708,nominal
-60.08965,-32.89740,nominal
-60.09335,-32.89831,nominal
-60.09509,-32.89317,high
-60.08767,-32.89135,nominal
-60.09139,-32.89226,nominal
-60.09881,-32.89407,nominal
-60.09312,-32.88712,nominal
-60.10054,-32.88894,nominal
-60.10425,-32.88985,nominal
-60.10797,-32.89076,nominal
-60.11537,-32.89257,nominal
-60.09683,-32.88803,low
-60.11167,-32.89166,low
-60.09858,-32.88289,nominal
-60.10599,-32.88471,nominal
-60.10971,-32.88562,nominal
-60.11341,-32.88653,nominal
-60.11710,-32.88744,nominal
-60.10228,-32.88380,low
-60.09661,-32.87684,nominal
-60.10032,-32.87775,nominal
-60.10403,-32.87866,nominal
-60.11143,-32.88048,nominal
-60.10773,-32.87957,low
-60.10206,-32.87262,nominal
-60.10576,-32.87353,nominal
-60.24260,-32.79171,nominal
