Longitude,Latitude,Confidence
-60.27988,-33.25761,nominal
-60.28404,-33.25698,nominal
-60.14533,-33.37910,nominal
-60.14460,-33.37576,nominal
-60.15643,-33.37052,nominal
-60.16061,-33.36989,nominal
-60.15989,-33.36655,nominal
-60.14590,-33.36176,nominal
-60.15008,-33.36113,nominal
-60.15427,-33.36050,nominal
-60.17998,-33.29353,nominal
-60.17508,-33.29082,nominal
-60.17925,-33.29018,nominal
-60.17854,-33.28684,nominal
-60.24789,-32.64352,nominal
-60.24273,-32.63897,nominal
-60.24334,-32.63507,nominal
-60.24533,-32.63553,low
