Longitude,Latitude,Confidence
-60.28837,-33.25709,nominal
-60.28740,-33.25343,nominal
-60.28542,-33.25911,nominal
-60.28608,-33.25814,nominal
-60.32484,-33.19211,nominal
-60.32383,-33.18844,nominal
-60.32265,-33.19174,nominal
-60.32164,-33.18807,nominal
-60.33061,-33.18282,high
-60.33429,-33.18308,high
-60.33794,-33.18334,low
-60.14521,-33.37477,nominal
-60.16040,-33.37186,nominal
-60.15940,-33.36823,nominal
-60.16020,-33.37078,nominal
-60.17664,-33.28789,nominal
-60.17465,-33.28721,nominal
-60.17070,-33.28952,nominal
-60.16962,-32.90737,high
-60.17317,-32.90764,high
-60.17011,-32.90222,high
-60.17724,-32.90277,high
-60.17367,-32.90250,low
-60.17774,-32.89762,high
-60.17419,-32.89735,nominal
-60.16920,-32.89873,nominal
-60.18507,-32.89616,high
-60.16665,-32.90518,high
-60.17586,-32.90067,high
-60.18249,-32.90260,high
-60.09457,-32.61233,nominal
-60.10123,-32.61429,nominal
-60.09859,-32.61218,high
