Longitude,Latitude,Confidence
-60.58792,-33.00966,nominal
-60.58722,-33.00671,nominal
-60.58664,-33.01109,low
-60.58169,-33.01061,nominal
-60.58112,-33.01499,nominal
-60.57618,-33.01451,nominal
-60.57998,-33.02375,nominal
-60.57502,-33.02327,nominal
-60.57738,-33.02358,high
-60.53914,-32.98992,nominal
-60.62047,-32.60153,nominal
-60.61623,-32.60225,nominal
-60.68507,-32.59409,nominal
-60.68081,-32.59481,nominal
-60.62128,-32.60490,nominal
-60.68587,-32.59747,nominal
-60.68162,-32.59819,nominal
-60.62829,-32.62083,nominal
-60.63254,-32.62010,nominal
-60.68180,-32.59520,nominal
-60.63586,-32.60397,nominal
-60.61628,-32.60203,nominal
-60.61140,-32.60154,nominal
-60.60651,-32.60106,nominal
-60.68008,-32.60835,high
-60.67951,-32.61273,nominal
-60.63530,-32.60834,nominal
-60.67894,-32.61711,nominal
-60.67400,-32.61662,nominal
-60.63472,-32.61271,nominal
-60.62982,-32.61223,nominal
-60.60048,-32.60930,nominal
-60.59560,-32.60881,nominal
-60.63415,-32.61708,nominal
-60.62923,-32.61660,nominal
-60.59990,-32.61366,nominal
-60.67855,-32.60819,nominal
-60.63425,-32.60410,nominal
-60.61955,-32.60273,low
-60.61465,-32.60228,nominal
-60.60976,-32.60183,nominal
-60.60489,-32.60137,nominal
-60.67797,-32.61258,nominal
-60.63368,-32.60847,nominal
-60.67739,-32.61696,nominal
-60.67246,-32.61650,nominal
-60.63311,-32.61284,nominal
-60.59882,-32.60964,nominal
-60.63252,-32.61721,nominal
-60.62761,-32.61676,nominal
-60.59824,-32.61401,nominal
-60.67129,-32.62527,nominal
-60.63193,-32.62159,nominal
-60.34637,-33.00058,nominal
-60.34579,-33.00490,nominal
-60.34823,-33.00231,nominal
-60.26133,-33.10744,nominal
-60.25923,-33.10855,nominal
-60.39192,-32.77924,nominal
-60.30028,-32.82885,nominal
-60.38210,-32.90247,nominal
-60.35816,-32.90007,nominal
-60.38152,-32.90680,nominal
-60.37673,-32.90631,nominal
-60.37897,-32.90305,nominal
-60.35978,-32.90125,nominal
-60.34425,-32.90852,nominal
-60.41999,-32.92446,nominal
-60.41516,-32.92400,high
-60.43815,-32.93497,nominal
-60.46668,-32.94209,nominal
-60.46182,-32.94163,nominal
-60.45696,-32.94116,nominal
-60.44241,-32.93978,nominal
-60.43757,-32.93932,nominal
-60.36048,-32.93194,nominal
-60.33654,-32.92964,nominal
-60.47096,-32.94690,nominal
-60.46610,-32.94643,nominal
-60.45153,-32.94505,nominal
-60.44668,-32.94458,nominal
-60.43699,-32.94366,nominal
-60.36469,-32.93672,nominal
-60.35989,-32.93626,nominal
-60.47525,-32.95171,nominal
-60.46551,-32.95078,nominal
-60.46066,-32.95032,nominal
-60.44610,-32.94893,nominal
-60.44125,-32.94846,nominal
-60.43641,-32.94799,nominal
-60.47466,-32.95606,nominal
-60.46980,-32.95560,nominal
-60.45522,-32.95420,nominal
-60.45036,-32.95373,nominal
-60.44067,-32.95280,nominal
-60.25399,-32.93472,nominal
-60.47409,-32.96041,nominal
-60.46922,-32.95995,nominal
-60.46436,-32.95948,nominal
-60.45950,-32.95901,nominal
-60.45463,-32.95854,nominal
-60.43526,-32.95668,nominal
-60.43040,-32.95621,nominal
-60.46864,-32.96429,nominal
-60.46377,-32.96382,nominal
-60.45406,-32.96289,nominal
-60.45892,-32.96336,high
-60.46806,-32.96864,nominal
-60.45833,-32.96770,nominal
-60.45347,-32.96723,nominal
-60.46319,-32.96817,high
-60.46260,-32.97252,nominal
-60.45775,-32.97205,nominal
-60.35887,-32.97994,nominal
-60.38174,-32.99096,nominal
-60.34695,-32.99626,nominal
-60.34216,-32.99578,nominal
-60.05040,-33.35428,nominal
-60.04622,-33.35497,nominal
-60.05964,-33.41641,nominal
-60.05494,-33.41596,nominal
-60.01730,-33.25215,high
-60.02135,-33.25687,nominal
-60.01670,-33.25640,high
-60.02076,-33.26112,nominal
-60.01611,-33.26065,nominal
-60.01147,-33.26019,nominal
-60.01088,-33.26444,low
-60.01553,-33.26491,nominal
-60.00624,-33.26397,nominal
-60.01494,-33.26916,nominal
-60.01030,-33.26869,nominal
-60.00566,-33.26822,nominal
-60.00034,-33.31742,nominal
-60.14391,-33.37911,nominal
-60.01534,-33.13615,nominal
-60.02139,-33.22612,nominal
-60.04225,-33.22269,nominal
-60.04721,-33.22535,nominal
-60.02217,-33.22945,nominal
-60.05138,-33.22467,nominal
-60.04303,-33.22603,nominal
-60.05216,-33.22800,nominal
-60.04381,-33.22937,nominal
-60.05294,-33.23134,nominal
-60.02372,-33.23612,nominal
-60.02450,-33.23946,nominal
-60.14384,-33.05655,nominal
-60.23690,-33.07449,nominal
-60.14736,-33.06556,nominal
-60.23574,-33.08308,low
-60.24522,-33.08403,nominal
-60.22626,-33.08214,nominal
-60.24047,-33.08356,high
-60.23990,-33.08785,nominal
-60.23515,-33.08738,nominal
-60.09364,-33.07745,nominal
-60.12104,-33.08455,nominal
-60.11637,-33.08408,nominal
-60.08841,-33.08123,nominal
-60.09247,-33.08596,nominal
-60.08783,-33.08549,nominal
-60.10121,-33.09118,nominal
-60.09654,-33.09070,nominal
-60.09190,-33.09023,nominal
-60.10529,-33.09592,nominal
-60.10062,-33.09545,nominal
-60.08665,-33.09401,high
-60.09070,-33.08384,nominal
-60.09944,-33.08899,nominal
-60.09477,-33.08854,nominal
-60.10352,-33.09371,nominal
-60.09885,-33.09326,nominal
-60.08952,-33.09236,nominal
-60.08486,-33.09192,nominal
-60.10293,-33.09797,nominal
-60.09826,-33.09752,nominal
-60.08893,-33.09662,nominal
-60.08427,-33.09617,nominal
-60.21175,-33.13884,nominal
-60.06442,-33.13740,nominal
-60.05803,-33.14971,nominal
-60.05337,-33.14924,nominal
-60.22548,-33.22915,nominal
-60.13427,-33.22907,nominal
-60.04991,-33.22087,nominal
-60.14312,-33.23426,nominal
-60.05398,-33.22558,nominal
-60.04932,-33.22512,nominal
-60.04467,-33.22467,nominal
-60.01676,-33.22194,nominal
-60.05806,-33.23030,nominal
-60.02083,-33.22664,nominal
-60.01618,-33.22618,nominal
-60.01154,-33.22573,nominal
-60.02953,-33.23181,nominal
-60.02488,-33.23135,nominal
-60.02024,-33.23090,nominal
-60.01559,-33.23044,nominal
-60.02895,-33.23606,nominal
-60.02429,-33.23560,nominal
-60.01964,-33.23515,nominal
-60.01500,-33.23469,nominal
-60.04698,-33.24216,nominal
-60.02370,-33.23986,nominal
-60.01847,-33.24365,nominal
-60.01382,-33.24319,nominal
-60.01788,-33.24790,nominal
-60.10184,-32.90253,nominal
-60.18398,-32.92353,nominal
-60.24926,-32.93426,nominal
-60.23981,-32.93333,nominal
-60.24337,-32.94238,nominal
-60.23276,-32.95003,nominal
-60.22629,-32.96243,nominal
