Longitude,Latitude,Confidence
-60.69839,-32.50237,nominal
-60.69463,-32.50699,nominal
-60.69963,-32.51068,nominal
-60.70464,-32.51436,nominal
-60.70026,-32.51483,nominal
-60.70527,-32.51851,nominal
-60.28171,-33.25575,nominal
-60.28649,-33.25528,nominal
-60.28242,-33.26004,nominal
-60.32086,-33.06137,nominal
-60.31643,-33.18504,nominal
-60.31706,-33.18932,nominal
-60.03857,-33.30611,nominal
-60.14117,-33.29596,nominal
-60.14664,-33.29980,nominal
-60.04411,-33.30998,nominal
-60.03917,-33.31047,nominal
-60.14569,-33.36146,nominal
-60.16311,-33.36887,nominal
-60.15826,-33.36934,nominal
-60.14854,-33.37028,nominal
-60.14919,-33.37462,nominal
-60.14431,-33.37510,nominal
-60.14981,-33.37895,nominal
-60.14494,-33.37943,nominal
-60.04779,-33.25185,nominal
-60.19962,-33.25947,nominal
-60.06366,-33.27274,nominal
-60.07407,-33.27613,nominal
-60.06429,-33.27708,nominal
-60.07896,-33.27566,nominal
-60.13995,-33.28729,nominal
-60.14056,-33.29162,nominal
-60.04286,-33.30126,nominal
-60.03794,-33.30175,nominal
-60.04348,-33.30562,nominal
-60.19987,-32.90920,nominal
-60.19513,-32.90969,nominal
