Longitude,Latitude,Confidence
-60.51097,-32.88050,nominal
-60.50978,-32.88058,nominal
-60.31887,-33.18920,nominal
-60.28050,-32.77276,nominal
-60.26255,-32.77161,nominal
-60.27555,-32.77816,nominal
-60.26209,-32.77729,nominal
-60.27509,-32.78384,high
-60.27929,-32.77473,nominal
-60.26132,-32.77368,nominal
-60.27431,-32.78016,high
-60.27385,-32.78584,nominal
-60.27337,-32.79153,nominal
-60.27291,-32.79721,nominal
-60.38530,-32.81535,nominal
-60.38074,-32.81508,nominal
-60.36517,-32.97019,high
-60.37046,-32.97165,nominal
-60.36673,-32.97121,high
-60.37204,-32.97264,nominal
-60.29076,-32.89166,nominal
-60.28763,-32.88424,nominal
-60.31797,-32.86632,high
-60.29691,-32.82763,high
-60.31546,-32.86629,high
-60.29978,-32.82926,high
-60.27413,-32.80256,nominal
-60.26554,-32.79364,high
-60.27096,-32.79512,nominal
-60.27003,-32.78169,high
-60.25919,-32.77872,nominal
-60.37213,-32.80960,nominal
-60.37746,-32.81107,nominal
-60.38279,-32.81252,nominal
-60.26143,-32.77274,high
-60.25601,-32.77126,nominal
-60.27767,-32.77719,nominal
-60.36168,-32.75541,nominal
-60.16115,-33.36992,nominal
-60.18990,-32.87759,high
-60.19638,-32.86272,high
-60.19097,-32.87379,nominal
-60.18604,-32.87919,nominal
-60.19049,-32.87946,high
-60.10201,-32.92521,nominal
-60.19526,-32.86655,high
-60.18358,-32.87545,nominal
-60.18902,-32.87694,nominal
-60.19352,-32.86497,nominal
