Longitude,Latitude,Confidence
-60.52304,-33.48790,nominal
-60.56462,-33.01594,high
-60.55955,-33.01707,nominal
-60.56971,-33.01482,nominal
-60.57108,-33.01918,nominal
-60.56602,-33.02030,nominal
-60.56094,-33.02143,nominal
-60.57388,-33.02187,nominal
-60.56808,-33.02159,nominal
-60.56229,-33.02131,low
-60.55649,-33.02102,nominal
-60.57123,-33.01797,nominal
-60.55924,-33.02378,nominal
-60.55343,-33.02353,high
-60.73959,-33.08289,high
-60.55181,-33.02835,high
-60.54948,-33.02181,high
-60.55373,-33.02291,nominal
-60.55139,-33.01637,high
-60.56841,-33.02081,nominal
-60.73994,-33.08421,high
-60.55351,-33.02539,high
-60.54925,-33.02431,nominal
-60.55118,-33.01888,high
-60.56825,-33.02321,nominal
-60.57020,-33.01779,high
-60.73772,-33.08828,nominal
-60.69482,-32.78225,nominal
-60.69329,-32.78089,nominal
-60.28370,-33.25642,nominal
-60.28855,-33.25534,nominal
-60.30015,-33.04964,nominal
-60.29820,-33.07901,high
-60.30259,-33.08016,nominal
-60.29647,-33.08194,nominal
-60.30087,-33.08306,nominal
-60.43980,-32.98465,nominal
-60.28451,-32.84914,nominal
-60.30067,-32.85019,nominal
-60.30562,-32.84911,nominal
-60.38433,-32.87635,nominal
-60.25592,-32.95566,nominal
-60.32275,-32.77045,nominal
-60.28742,-32.84714,nominal
-60.30414,-32.84795,high
-60.27036,-32.85252,nominal
-60.30376,-32.85416,high
-60.25914,-32.95010,high
-60.25872,-32.95630,high
-60.25834,-32.96249,high
-60.25238,-32.96841,nominal
-60.25794,-32.96869,high
-60.25200,-32.97460,high
-60.25872,-32.95774,high
-60.25428,-32.95657,nominal
-60.25625,-32.95105,high
-60.26066,-32.95221,nominal
-60.37699,-32.97673,nominal
-60.25550,-32.96750,high
-60.25747,-32.96197,high
-60.25303,-32.96084,nominal
-60.25946,-32.95645,high
-60.25502,-32.95531,nominal
-60.25698,-32.94978,high
-60.39425,-32.88897,nominal
-60.30127,-32.85257,high
-60.38063,-32.87339,high
-60.30570,-32.85374,nominal
-60.38258,-32.86789,high
-60.39480,-32.89232,nominal
-60.38113,-32.87685,nominal
-60.30348,-32.85099,high
-60.38309,-32.87135,high
-60.38505,-32.86584,nominal
-60.31326,-32.76895,high
-60.31770,-32.77011,nominal
-60.25283,-32.97432,nominal
-60.25479,-32.96879,high
-60.25037,-32.96763,nominal
-60.25676,-32.96327,high
-60.25232,-32.96210,nominal
-60.25915,-32.74266,nominal
-60.25786,-32.74734,nominal
-60.15841,-33.36563,nominal
-60.15972,-33.36987,nominal
-60.16455,-33.36884,nominal
-60.14671,-33.37719,nominal
-60.16019,-33.36620,nominal
-60.16150,-33.37044,nominal
-60.10983,-33.33995,nominal
-60.11590,-33.34315,nominal
-60.10773,-33.34945,nominal
-60.10905,-33.35367,nominal
