Longitude,Latitude,Confidence
-60.62507,-32.60336,nominal
-60.65377,-32.59352,nominal
-60.63072,-32.59711,nominal
-60.63398,-32.60267,nominal
-60.63023,-32.60239,high
-60.62649,-32.60210,high
-60.69371,-32.61247,nominal
-60.62975,-32.60766,nominal
-60.68993,-32.61219,high
-60.62599,-32.60737,high
-60.65580,-32.59268,nominal
-60.63270,-32.59642,nominal
-60.62468,-32.60118,nominal
-60.63220,-32.60169,high
-60.62844,-32.60143,high
-60.68821,-32.61086,nominal
-60.62417,-32.60645,nominal
-60.69199,-32.61112,high
-60.63170,-32.60696,high
-60.62793,-32.60670,high
-60.64894,-32.62410,nominal
-60.62380,-32.60558,high
-60.63017,-32.60742,nominal
-60.68342,-32.61576,nominal
-60.65023,-32.59201,nominal
-60.62544,-32.60839,nominal
-60.62792,-32.60203,high
-60.68772,-32.61191,nominal
-60.65199,-32.59473,nominal
-60.28553,-33.25463,nominal
-60.28650,-33.25829,nominal
-60.28692,-33.25536,nominal
-60.28696,-33.25591,nominal
-60.28559,-33.04019,nominal
-60.29597,-33.04617,nominal
-60.29546,-33.05137,nominal
-60.29495,-33.05656,nominal
-60.28767,-33.05603,nominal
-60.29131,-33.05629,high
-60.28970,-33.05541,nominal
-60.29221,-33.04902,nominal
-60.28173,-33.03880,high
-60.28823,-33.04071,nominal
-60.28559,-33.05747,nominal
-60.28417,-33.04283,high
-60.27765,-33.04095,nominal
-60.28671,-33.03643,high
-60.28020,-33.03456,nominal
-60.42397,-32.84167,nominal
-60.42500,-32.84537,nominal
-60.41449,-32.84742,nominal
-60.40923,-32.84843,nominal
-60.42601,-32.84908,nominal
-60.41025,-32.85215,nominal
-60.42703,-32.85279,nominal
-60.41127,-32.85585,nominal
-60.42805,-32.85650,nominal
-60.42483,-32.86494,nominal
-60.38997,-32.89896,nominal
-60.43925,-32.84064,nominal
-60.43190,-32.84011,nominal
-60.43557,-32.84037,high
-60.43874,-32.84586,nominal
-60.43139,-32.84533,nominal
-60.42772,-32.84507,nominal
-60.41668,-32.84426,nominal
-60.43506,-32.84560,high
-60.41301,-32.84400,high
-60.43088,-32.85056,nominal
-60.40882,-32.84895,nominal
-60.43454,-32.85082,high
-60.41617,-32.84948,high
-60.41250,-32.84922,high
-60.43403,-32.85604,nominal
-60.43037,-32.85578,nominal
-60.41566,-32.85471,nominal
-60.40831,-32.85417,nominal
-60.26656,-32.84371,nominal
-60.41198,-32.85443,high
-60.40465,-32.85390,high
-60.37960,-32.88354,nominal
